perf_var,perf_var,x1,x2,x3,x4,x5,x6,x7,x8,x9
20,20,0.2,20.8,2,0,0,0.07145,0.235719,7.3,2.88
350,350,24.8,211.2,,3,0,0.5,1.272843,,4.5
50,50,3.6,14.4,,0,0,0,0.471438,,23.04
50,50,1.2,24.8,,0,0,0,0.565719,,2.16
10,10,1.4,21.6,6,0,0,0,0.99,21.9,12.78
130,130,12.4,19.2,62,0,0,0.35715,1.084281,226.3,0.9
60,60,7.1,18.4,24,0,0,0,1.084281,87.6,118.08
460,460,14.2,32.8,6,0,0,0.2143,1.885719,21.9,7.2
140,140,2.4,12.8,14,0,0,0.7857,0.612843,51.1,0.18
0,0,0.8,29.6,8,0,0,0,0.377157,29.2,107.28
670,670,34.1,20,24,6,0,5.7857,3.865719,87.6,40.32
280,280,17.7,10.4,6,126,20,7.57145,5.751438,21.9,1.62
30,30,1.4,8.8,,6,6.4285,0,0.235719,,12.96
,,0.4,17.6,12,0,0,0,0.565719,43.8,3.96
20,20,1.7,14.4,10,0,0,0,0.33,36.5,111.42
0,0,0,18.4,,0,0,0,,,0.18
10,10,0.8,23.2,,0,0,0,0.047157,,9
,,,14.4,,,0,0,,,103.32
0,0,0,23.2,,0,0,0,,,5.58
0,0,0,26.4,14,117,0,0,,51.1,1.08
80,80,11.1,26.4,12,3,87.857,0.7143,,43.8,4.5
0,0,0,11.2,6,117,0,1.2857,,21.9,2.88
0,0,0.1,28.8,,312,0.7145,0,,,40.68
0,0,0,39.2,,309,0,7.7143,,,2.88
0,0,0.3,19.2,,336,2.143,0.42855,,,10.98
0,0,0,10.4,,558,0,0,,,10.44
0,0,0,27.2,,0,0.7145,0,,,12.42
0,0,0,28,6,0,0,0,,21.9,2.16
0,0,0.1,31.2,10,0,1.4285,0.14285,,36.5,0.36
0,0,0,20,6,114,0,0,,21.9,0.18
0,0,0,33.6,6,321,0,0,,21.9,2.52
0,0,0.1,16,,303,0.7145,0.2143,,,0.72
0,0,0,39.2,2,723,1.4285,0.64285,,7.3,1.08
0,0,0,20,,0,0,0,,,0.36
0,0,0,19.2,,0,0,0,,,1.62
20,20,0,14.4,6,0,1.4285,0,,21.9,3.24
,,0,20,,0,0,0,,,2.16
0,0,0,23.2,,0,0,0,,,8.46
0,0,0,32.8,,0,0,0,,,9.54
0,0,0.1,16.8,,0,2.143,0.2143,,,6.3
0,0,0,13.6,,120,0,0,,,10.8
0,0,0,13.6,,114,3.5715,0,,,1.98
0,0,0,14.4,6,108,0,0,,21.9,3.6
0,0,0.1,22.4,6,0,0.7145,0.07145,,21.9,45.36
0,0,0,32,,114,0,0,,,2.52
0,0,0,14.4,,0,0,0,,,57.06
0,0,1.7,23.2,12,3,20.7145,0.14285,,43.8,1.62
0,0,0,32,4,114,0,0,,14.6,3.42
0,0,0,21.6,,0,0,0,,,63.18
0,0,0.1,19.2,,111,0.7145,0.57145,,,27
0,0,0,20,,318,0,0,,,0.18
0,0,0,16.8,,327,0,0,,,18.72
0,0,0.3,16.8,4,0,2.857,0,,14.6,10.08
0,0,0,10.4,12,105,0,0,,43.8,0.72
0,0,0,24.8,,0,0,0.14285,,,46.98
0,0,0,36,12,0,2.857,1.57145,,43.8,5.94
0,0,0,21.6,2,0,0,0,,7.3,12.78
0,0,0,25.6,6,0,0,0,,21.9,1.98
0,0,0.1,16.8,12,117,0.7145,0.07145,,43.8,79.92
0,0,0,16,4,0,5.7145,0,,14.6,1.08
10,10,0,13.6,10,120,0.7145,0,,36.5,1.98
0,0,0,32.8,4,336,2.857,0,,14.6,0.18
0,0,0,30.4,8,333,0,0,,29.2,6.48
0,0,0,25.6,6,336,0.7145,0.57145,,21.9,0.72
10,10,0,20.8,,117,2.143,0,,,2.52
,,0.3,15.2,,0,5.7145,0,,,0.18
0,0,0,18.4,,120,0,0,,,0.36
0,0,0,31.2,,0,19.2855,0.14285,,,0.18
0,0,0,22.4,,0,2.857,0,,,0.54
0,0,0.1,25.6,2,0,2.143,0,,7.3,1.98
0,0,0,17.6,2,114,0,0,,7.3,0.54
0,0,0,23.2,,0,0,0,,,1.8
0,0,0,17.6,,117,0.7145,0,,,2.52
30,30,0,15.2,6,0,2.143,0,,21.9,5.94
50,50,0,19.2,4,0,3.5715,0.07145,,14.6,0.9
0,0,0.1,16.8,6,111,3.5715,0.07145,,21.9,0.54
0,0,0,16,,0,0,0,,,11.88
0,0,0,18.4,,120,0,0,,,1.44
0,0,0,20.8,,0,0,0,,,26.28
10,10,0.4,23.2,,114,4.2855,0.7143,,,15.84
10,10,0,23.2,,321,0.7145,0,,,5.22
20,20,0,16,6,111,1.4285,0,,21.9,0.9
0,0,0,25.6,30,111,0,2.7143,,109.5,20.34
0,0,0,24,10,120,0,0.7143,,36.5,1.98
0,0,0,28.8,6,117,1.4285,3.2857,,21.9,0.18
30,30,0,30.4,6,342,2.143,0,,21.9,5.4
0,0,0,20.8,6,339,0,0,,21.9,6.48
70,70,3.2,25.6,,0,34.2855,6.7857,,,1.26
,,0.5,16.8,8,0,0,0,0.565719,29.2,0.18
10,10,3.1,61.6,8,321,10.7145,0,1.65,29.2,562.86
40,40,4.4,15.2,2,0,12.857,0,1.131438,7.3,12.42
90,90,5.3,18.4,8,312,15.7145,2.07145,1.555719,29.2,0.18
0,0,1.5,12.8,6,0,20,0.85715,0.047157,21.9,3.06
0,0,1,18.4,8,117,0.7145,0.14285,0.235719,29.2,1.62
20,20,3.6,18.4,18,0,7.857,0,0.471438,65.7,1.26
660,660,2.6,24.8,2,336,50.7145,0.14285,0.518562,7.3,12.42
0,0,0,2.4,6,0,0,0,0.424281,21.9,45.18
0,0,0,13.6,,0,0,0,0.047157,,0.18
,,0.1,13.6,,0,0,0,0.047157,,5.4
,,0.7,24,8,0,0,0,0.094281,29.2,20.7
10,10,0.9,14.4,12,0,0,0.07145,0.282843,43.8,4.86
0,0,0.9,19.2,,0,7.143,0,0.141438,,13.86
,,1.3,19.2,16,0,0,0,0.66,58.4,18.18
50,50,5.6,17.6,6,0,0,0,0.612843,21.9,28.8
580,580,17.9,21.6,6,0,0,0.07145,2.215719,21.9,1.26
0,0,0.1,250.4,6,0,0,0,0.188562,21.9,0.36
80,80,0.4,27.2,6,0,0,0,0.612843,21.9,18.36
30,30,12.1,21.6,6,9,0,0.14285,0.612843,21.9,5.04
20,20,8.1,28.8,6,3,0,0,1.037157,21.9,1.98
60,60,5.4,18.4,,0,0,0,0.612843,,12.42
190,190,7.8,10.4,6,0,0,0,1.602843,21.9,1.62
20,20,0,12.8,,0,0,0,0.094281,,3.96
60,60,0.5,20,,0,0,1,0.377157,,3.24
20,20,0.7,33.6,100,0,0,0,0.094281,365,30.06
0,0,1.7,11.2,6,0,0,0,0.235719,21.9,9.9
0,0,0.5,25.6,,120,0,0,0.565719,,10.26
0,0,0.8,19.2,,0,2.143,0,0.707157,,0.72
80,80,0.4,18.4,6,0,0,0,0.094281,21.9,3.96
200,200,3.8,40,,321,1.4285,0.2143,1.414281,,12.96
0,0,0,24.8,,0,0,0,0.282843,,2.52
80,80,7,24,14,0,0,0.5,1.4025,51.1,24.12
0,0,1.2,23.2,10,117,6.4285,0.2857,3.017157,36.5,117.9
130,130,5,16.8,8,117,0,0,0.825,29.2,5.94
30,30,3.2,25.6,,3,0,0,1.697157,,10.98
0,0,9.7,32,,0,5,0,1.65,,0.72
30,30,1.4,24,4,0,0,0.85715,0.754281,14.6,12.06
30,30,12.9,18.4,6,18,0.7145,0.07145,2.31,21.9,210.06
,,0.7,20.8,4,0,0,0,0.188562,14.6,1.8
,,0.3,4.8,6,3,0,0,0.235719,21.9,0.18
0,0,2.1,21.6,,0,0.7145,0,1.65,,6.84
20,20,1.7,10.4,18,0,0,0,1.555719,65.7,0.54
20,20,1.1,14.4,6,0,0,0,0.235719,21.9,1.26
10,10,3.3,21.6,52,0,0.7145,1.64285,0.377157,189.8,8.1
10,10,3.2,18.4,6,3,0,0,1.19625,21.9,1.98
0,0,0.8,21.6,6,3,0.7145,0,0.518562,21.9,57.42
170,170,1.2,214.4,8,0,0,0.42855,0.754281,29.2,3.78
60,60,0,23.2,,0,0,0,0.565719,,5.04
0,0,0.9,30.4,,0,0,0,0.094281,,5.94
10,10,0,17.6,,0,0,0,0.047157,,5.04
40,40,1.8,17.6,,108,0,0.7143,0.377157,,92.7
0,0,0.3,17.6,,108,1.4285,0,0.047157,,22.68
20,20,1.6,15.2,6,0,7.143,0,0.66,21.9,6.66
0,0,0.3,13.6,2,0,0,0.625,0.12375,7.3,22.5
10,10,0.3,20,6,120,0,0,0.377157,21.9,0.9
40,40,0.1,20.8,18,0,0,0,0.188562,65.7,3.42
0,0,0,19.2,6,114,0,0,0.33,21.9,2.34
80,80,1.3,16.8,6,102,6.4285,0,0.895719,21.9,0.54
0,0,0.2,12,4,120,0,0.8125,0.94875,14.6,4.32
0,0,0.9,23.2,,111,5.7145,0,0.518562,,24.3
20,20,1,15.2,12,0,0,0,0.471438,43.8,3.24
0,0,1.2,32,26,0,0,0.125,0.2475,94.9,527.4
20,20,1.8,15.2,6,0,0,8.1875,1.485,21.9,1.62
530,530,24.3,84.8,26,132,0,1.5,3.3,94.9,8.28
50,50,3.7,146.4,6,105,0,4,0.848562,21.9,13.68
60,60,3,32,2,0,0,0,1.32,7.3,22.5
70,70,0.6,12,12,114,0.7145,0,0.235719,43.8,6.48
30,30,1.8,16.8,6,108,5,0,0.33,21.9,20.34
100,100,1.6,217.6,6,117,24.2855,0,3.252843,21.9,13.86
240,240,0.3,15.2,10,120,5,0,0.235719,36.5,3.24
20,20,2.3,27.2,18,324,7.143,0.35715,0.377157,65.7,7.2
310,310,17.2,25.6,10,0,0,0.64285,1.367157,36.5,36.54
